Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Yonathan Daza,2021,COL,331,6.3%,18.1%,0.073,75,15794
Rafael Ortega,2021,CHC,330,9.1%,21.2%,0.172,120,10323
Juan Lagares,2021,LAA,327,3.7%,23.2%,0.136,71,5384
David Bote,2021,CHC,327,8.3%,22.3%,0.131,64,14593
Edmundo Sosa,2021,STL,326,5.2%,19.3%,0.118,104,17022
Tom Murphy,2021,SEA,325,12.3%,30.5%,0.148,87,13499
Niko Goodrum,2021,DET,325,8.9%,32.9%,0.145,79,12092
Rowdy Tellez,2021,- - -,325,7.1%,20.0%,0.172,89,15679
Matt Duffy,2021,CHC,322,7.8%,19.6%,0.093,102,13836
Chas McCormick,2021,HOU,320,7.8%,32.5%,0.190,109,19599
Max Stassi,2021,LAA,319,8.8%,31.7%,0.184,107,10059
Aledmys Diaz,2021,HOU,319,5.0%,19.4%,0.146,99,15937
D.J. Stewart,2021,BAL,318,13.8%,28.0%,0.170,94,17766
Daulton Varsho,2021,ARI,315,9.5%,21.3%,0.190,98,19918
Jake Bauers,2021,- - -,315,9.5%,24.8%,0.067,63,15194
Darin Ruf,2021,SFG,312,14.7%,27.9%,0.248,144,9929
Alex Dickerson,2021,SFG,312,7.4%,24.4%,0.187,97,12649
Austin Hedges,2021,CLE,312,4.8%,27.9%,0.129,40,12976
Jorge Alfaro,2021,MIA,311,3.5%,31.8%,0.098,73,12180
Josh VanMeter,2021,ARI,310,10.6%,26.8%,0.142,75,15170
Wander Franco,2021,TBR,308,7.8%,12.0%,0.174,127,23667
Seth Brown,2021,OAK,307,7.5%,29.0%,0.267,103,18171
Marwin Gonzalez,2021,- - -,307,6.5%,25.4%,0.105,58,5497
Austin Slater,2021,SFG,306,9.2%,27.5%,0.182,103,16153
Ji-Man Choi,2021,TBR,305,14.8%,28.5%,0.182,117,5452
Jace Peterson,2021,MIL,302,12.6%,22.5%,0.120,97,12325
Jose Trevino,2021,TEX,302,4.0%,18.9%,0.102,64,16725
Trevor Larnach,2021,MIN,301,10.3%,34.6%,0.127,89,21501
Billy McKinney,2021,- - -,300,10.7%,26.3%,0.166,73,15654
Ha-seong Kim,2021,SDP,298,7.4%,23.8%,0.150,70,27506
Steven Duggar,2021,SFG,297,9.1%,29.6%,0.179,107,17719
Luis Robert,2021,CHW,296,4.7%,20.6%,0.229,157,20043
Ramon Urias,2021,BAL,296,9.5%,25.7%,0.134,115,18795
Albert Pujols,2021,- - -,296,4.7%,15.2%,0.196,90,1177
Kelvin Gutierrez,2021,- - -,295,6.4%,25.8%,0.085,67,17468
Cavan Biggio,2021,TOR,294,12.6%,26.5%,0.132,84,19252
Ryan Jeffers,2021,MIN,293,7.5%,36.9%,0.202,82,24618
Brett Phillips,2021,TBR,292,11.3%,38.7%,0.213,99,14735
Evan Longoria,2021,SFG,291,12.0%,23.4%,0.221,123,9368
Jack Mayfield,2021,- - -,290,5.9%,23.4%,0.169,79,15402
Lewis Brinson,2021,MIA,290,4.5%,24.8%,0.150,74,14352
Yadiel Hernandez,2021,WSN,289,7.6%,20.4%,0.140,98,19334
Adam Eaton,2021,- - -,288,7.6%,24.7%,0.126,70,11205
Lorenzo Cain,2021,MIL,286,9.1%,16.8%,0.144,97,9077
Jonah Heim,2021,TEX,285,5.3%,20.4%,0.162,60,16930
Joshua Fuentes,2021,COL,284,4.2%,22.9%,0.125,48,16885
Willie Calhoun,2021,TEX,284,7.4%,12.0%,0.131,91,17838
Pat Valaika,2021,BAL,281,5.7%,27.0%,0.089,46,14885
Bobby Bradley,2021,CLE,279,9.0%,35.5%,0.237,99,17278
Francisco Mejia,2021,TBR,277,6.1%,17.7%,0.156,108,16403
Isan Diaz,2021,MIA,277,12.3%,26.4%,0.088,60,17922
Ryan Zimmerman,2021,WSN,273,5.9%,28.2%,0.227,97,4220
Andy Ibanez,2021,TEX,272,5.5%,12.9%,0.158,107,18819
