Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Rafael Ortega,2021,CHC,330,0.091,0.212,0.172,120,10323
Juan Lagares,2021,LAA,327,0.037,0.232,0.136,71,5384
David Bote,2021,CHC,327,0.083,0.223,0.131,64,14593
Edmundo Sosa,2021,STL,326,0.052,0.193,0.118,104,17022
Tom Murphy,2021,SEA,325,0.123,0.305,0.148,87,13499
Niko Goodrum,2021,DET,325,0.089,0.329,0.145,79,12092
Rowdy Tellez,2021,- - -,325,0.071,0.200,0.172,89,15679
Matt Duffy,2021,CHC,322,0.078,0.196,0.093,102,13836
Chas McCormick,2021,HOU,320,0.078,0.325,0.190,109,19599
Max Stassi,2021,LAA,319,0.088,0.317,0.184,107,10059
Aledmys Diaz,2021,HOU,319,0.050,0.194,0.146,99,15937
D.J. Stewart,2021,BAL,318,0.138,0.280,0.170,94,17766
Daulton Varsho,2021,ARI,315,0.095,0.213,0.190,98,19918
Jake Bauers,2021,- - -,315,0.095,0.248,0.067,63,15194
Darin Ruf,2021,SFG,312,0.147,0.279,0.248,144,9929
Alex Dickerson,2021,SFG,312,0.074,0.244,0.187,97,12649
Austin Hedges,2021,CLE,312,0.048,0.279,0.129,40,12976
Jorge Alfaro,2021,MIA,311,0.035,0.318,0.098,73,12180
Josh VanMeter,2021,ARI,310,0.106,0.268,0.142,75,15170
Wander Franco,2021,TBR,308,0.078,0.120,0.174,127,23667
Seth Brown,2021,OAK,307,0.075,0.290,0.267,103,18171
Marwin Gonzalez,2021,- - -,307,0.065,0.254,0.105,58,5497
Austin Slater,2021,SFG,306,0.092,0.275,0.182,103,16153
Ji-Man Choi,2021,TBR,305,0.148,0.285,0.182,117,5452
Jace Peterson,2021,MIL,302,0.126,0.225,0.120,97,12325
Jose Trevino,2021,TEX,302,0.040,0.189,0.102,64,16725
Trevor Larnach,2021,MIN,301,0.103,0.346,0.127,89,21501
Billy McKinney,2021,- - -,300,0.107,0.263,0.166,73,15654
Ha-seong Kim,2021,SDP,298,0.074,0.238,0.150,70,27506
Steven Duggar,2021,SFG,297,0.091,0.296,0.179,107,17719
Luis Robert,2021,CHW,296,0.047,0.206,0.229,157,20043
Ramon Urias,2021,BAL,296,0.095,0.257,0.134,115,18795
Albert Pujols,2021,- - -,296,0.047,0.152,0.196,90,1177
Kelvin Gutierrez,2021,- - -,295,0.064,0.258,0.085,67,17468
Cavan Biggio,2021,TOR,294,0.126,0.265,0.132,84,19252
Ryan Jeffers,2021,MIN,293,0.075,0.369,0.202,82,24618
Brett Phillips,2021,TBR,292,0.113,0.387,0.213,99,14735
Evan Longoria,2021,SFG,291,0.120,0.234,0.221,123,9368
Jack Mayfield,2021,- - -,290,0.059,0.234,0.169,79,15402
Lewis Brinson,2021,MIA,290,0.045,0.248,0.150,74,14352
Yadiel Hernandez,2021,WSN,289,0.076,0.204,0.140,98,19334
Adam Eaton,2021,- - -,288,0.076,0.247,0.126,70,11205
Lorenzo Cain,2021,MIL,286,0.091,0.168,0.144,97,9077
Jonah Heim,2021,TEX,285,0.053,0.204,0.162,60,16930
Joshua Fuentes,2021,COL,284,0.042,0.229,0.125,48,16885
Willie Calhoun,2021,TEX,284,0.074,0.120,0.131,91,17838
Pat Valaika,2021,BAL,281,0.057,0.270,0.089,46,14885
Bobby Bradley,2021,CLE,279,0.090,0.355,0.237,99,17278
Francisco Mejia,2021,TBR,277,0.061,0.177,0.156,108,16403
Isan Diaz,2021,MIA,277,0.123,0.264,0.088,60,17922
Ryan Zimmerman,2021,WSN,273,0.059,0.282,0.227,97,4220
Andy Ibanez,2021,TEX,272,0.055,0.129,0.158,107,18819
Tyrone Taylor,2021,MIL,271,0.074,0.218,0.210,106,13675
Charlie Culberson,2021,TEX,271,0.063,0.236,0.138,85,3298
Jon Berti,2021,MIA,271,0.118,0.225,0.103,79,12037
Brian Goodwin,2021,CHW,271,0.122,0.214,0.153,94,12858
Jake Fraley,2021,SEA,265,0.174,0.268,0.159,109,19260
Brian Anderson,2021,MIA,264,0.098,0.246,0.129,99,18289
Lane Thomas,2021,- - -,264,0.140,0.239,0.177,103,16939
Dom Nunez,2021,COL,263,0.129,0.346,0.211,69,15055
Yoshi Tsutsugo,2021,- - -,262,0.111,0.275,0.165,90,27459
Yermin Mercedes,2021,CHW,262,0.076,0.176,0.133,102,17423
Brandon Marsh,2021,LAA,260,0.077,0.350,0.102,86,20202
Brock Holt,2021,TEX,260,0.088,0.188,0.089,62,9345
Frank Schwindel,2021,- - -,259,0.062,0.158,0.264,152,15351
Daniel Vogelbach,2021,MIL,258,0.167,0.221,0.163,101,14130
Joe Panik,2021,- - -,257,0.066,0.132,0.076,51,11936
Hanser Alberto,2021,KCR,255,0.016,0.102,0.133,84,11902
Sergio Alcantara,2021,CHC,255,0.118,0.290,0.123,71,16417
Byron Buxton,2021,MIN,254,0.051,0.244,0.340,169,14161
Ryan O'Hearn,2021,KCR,254,0.051,0.280,0.144,70,16442
Mitch Moreland,2021,OAK,252,0.071,0.230,0.188,93,3086
Jesus Sanchez,2021,MIA,251,0.080,0.311,0.238,116,19913
Yu Chang,2021,CLE,251,0.044,0.275,0.198,85,14773
Garrett Cooper,2021,MIA,250,0.120,0.272,0.181,134,15279
Travis Shaw,2021,- - -,250,0.096,0.272,0.173,78,11982
Josh Naylor,2021,CLE,250,0.056,0.180,0.146,90,18839
Anthony Rendon,2021,LAA,249,0.116,0.165,0.143,95,12861
Matt Carpenter,2021,STL,249,0.141,0.309,0.106,70,8090
Carter Kieboom,2021,WSN,249,0.100,0.249,0.111,68,19958
Luis Garcia,2021,WSN,247,0.045,0.174,0.169,79,20391
Kurt Suzuki,2021,LAA,247,0.049,0.178,0.119,76,8259
Phillip Evans,2021,PIT,247,0.113,0.215,0.093,73,12950
Santiago Espinal,2021,TOR,246,0.089,0.122,0.095,115,19997
Mitch Garver,2021,MIN,243,0.128,0.292,0.261,137,15161
Tommy La Stella,2021,SFG,242,0.074,0.107,0.155,94,12371
Luke Voit,2021,NYY,241,0.087,0.307,0.197,111,14811
Wilmer Difo,2021,PIT,240,0.083,0.225,0.114,95,14320
DJ Peters,2021,- - -,240,0.050,0.342,0.224,71,19348
Oscar Mercado,2021,CLE,238,0.088,0.176,0.145,84,16375
Sam Hilliard,2021,COL,238,0.097,0.366,0.248,85,17954
